里程數,公路編,經度,緯度,E,N,工程處,工務段,日期,縣市別,鄉鎮區,村里,備註
0010K+000,台7線,121.31331400000,24.82822600000,281669.84399999998,2746788.14600000018,一工處,復興工務段,2016/06/23,桃園市,大溪區,復興里,
0010K+500,台7線,121.31731100000,24.82947600000,282073.54300000001,2746927.52999999980,一工處,復興工務段,2016/06/23,桃園市,大溪區,新峰里,
0011K+000,台7線,121.32080600000,24.83230400000,282426.08000000002,2747241.58600000013,一工處,復興工務段,2016/06/23,桃園市,大溪區,新峰里,
0011K+500,台7線,121.32539000000,24.83179300000,282889.55499999999,2747186.08499999996,一工處,復興工務段,2016/06/23,桃園市,大溪區,新峰里,
0012K+000,台7線,121.33002600000,24.83204100000,283358.08700000000,2747214.67900000000,一工處,復興工務段,2016/06/23,桃園市,大溪區,新峰里,
0012K+500,台7線,121.33203500000,24.82923900000,283561.90700000001,2746904.82100000000,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0013K+000,台7線,121.33585300000,24.82950500000,283947.75900000002,2746935.22800000012,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0013K+500,台7線,121.33795400000,24.82657100000,284160.93300000002,2746610.78099999996,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0014K+000,台7線,121.34145500000,24.82610200000,284514.95199999999,2746559.71499999985,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0014K+500,台7線,121.34324300000,24.82322100000,284696.49099999998,2746241.06799999997,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0015K+000,台7線,121.34533400000,24.81980700000,284908.81699999998,2745863.46400000015,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0015K+500,台7線,121.34752700000,24.82186400000,285129.92200000002,2746091.86100000003,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0016K+000,台7線,121.35120800000,24.82392300000,285501.43400000001,2746320.87000000011,一工處,復興工務段,2016/06/23,桃園市,復興區,三民村,
0016K+500,台7線,121.35483800000,24.82433400000,285868.25300000003,2746367.34200000018,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0017K+000,台7線,121.35346400000,24.82015800000,285730.56099999999,2745904.44499999983,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0017K+500,台7線,121.35256100000,24.81666200000,285640.27899999998,2745516.99000000022,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0018K+000,台7線,121.35380100000,24.81260500000,285766.79599999997,2745067.95999999996,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0018K+500,台7線,121.35199300000,24.80947900000,285584.91100000002,2744721.25000000000,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0019K+000,台7線,121.35574300000,24.80762200000,285964.55800000002,2744516.55099999998,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0019K+500,台7線,121.36042200000,24.80746300000,286437.64100000000,2744500.18000000017,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0020K+000,台7線,121.36421600000,24.80622200000,286821.57400000002,2744363.74399999995,一工處,復興工務段,2016/06/23,桃園市,復興區,澤仁村,
0020K+500,台7線,121.36811500000,24.80609800000,287215.79599999997,2744351.06699999981,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0021K+000,台7線,121.36769400000,24.80278600000,287174.22100000002,2743984.11400000006,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0021K+500,台7線,121.36567900000,24.79913900000,286971.58199999999,2743579.62399999984,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0022K+000,台7線,121.36243700000,24.79659400000,286644.54800000001,2743296.86599999992,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0022K+500,台7線,121.36532800000,24.79298800000,286937.91600000003,2742898.24299999978,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0022K+600,台7線,121.36582700000,24.79221100000,286988.59999999998,2742812.31699999981,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0022K+700,台7線,121.36599600000,24.79146100000,287005.91100000002,2742729.29300000006,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0022K+800,台7線,121.36531800000,24.79080500000,286937.55200000003,2742656.45099999988,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0022K+900,台7線,121.36444100000,24.79043400000,286848.98599999998,2742615.12199999997,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+000,台7線,121.36431900000,24.78955500000,286836.90999999997,2742517.73100000015,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+100,台7線,121.36382000000,24.78879500000,286786.67900000000,2742433.41900000023,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+200,台7線,121.36330100000,24.78811500000,286734.40200000000,2742357.96199999982,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+300,台7線,121.36310800000,24.78740600000,286715.09499999997,2742279.38100000005,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+400,台7線,121.36286600000,24.78664300000,286690.84999999998,2742194.80599999987,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+500,台7線,121.36284300000,24.78578700000,286688.77600000001,2742099.99000000022,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+600,台7線,121.36255400000,24.78493900000,286659.80300000001,2742005.98799999990,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+700,台7線,121.36209600000,24.78415300000,286613.72200000001,2741918.80700000003,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+800,台7線,121.36143500000,24.78375700000,286547.00000000000,2741874.76899999985,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0023K+900,台7線,121.36119600000,24.78339900000,286522.93800000002,2741835.05299999984,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+000,台7線,121.36039800000,24.78308000000,286442.33899999998,2741799.50799999991,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+100,台7線,121.35984500000,24.78240000000,286386.61900000001,2741724.04400000023,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+200,台7線,121.35900600000,24.78206900000,286301.87699999998,2741687.15899999999,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+300,台7線,121.35836300000,24.78189600000,286236.90800000000,2741667.82700000005,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+400,台7線,121.35855800000,24.78115500000,286256.84200000000,2741585.80599999987,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+500,台7線,121.35940000000,24.78098900000,286342.03300000000,2741567.64300000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+600,台7線,121.36034200000,24.78111800000,286437.24900000001,2741582.18200000003,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+700,台7線,121.36037600000,24.78022600000,286440.94799999997,2741483.39300000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+800,台7線,121.36003600000,24.77942200000,286406.80200000003,2741394.25199999986,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0024K+900,台7線,121.35955900000,24.77865200000,286358.79100000003,2741308.83900000015,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+000,台7線,121.35964400000,24.77778000000,286367.64100000000,2741212.27900000010,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+100,台7線,121.35972100000,24.77691300000,286375.67999999999,2741116.27100000018,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+200,台7線,121.35991400000,24.77604000000,286395.45100000000,2741019.62900000019,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+300,台7線,121.35996500000,24.77517800000,286400.85999999999,2740924.16699999990,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+400,台7線,121.35951000000,24.77441800000,286355.07000000001,2740839.86899999995,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+500,台7線,121.35952700000,24.77352300000,286357.04900000000,2740740.74299999978,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+600,台7線,121.35949900000,24.77262600000,286354.47899999999,2740641.38400000008,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+700,台7線,121.36010300000,24.77193500000,286415.76100000000,2740565.00999999978,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+800,台7線,121.35979900000,24.77119300000,286385.23499999999,2740482.74500000011,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0025K+900,台7線,121.35928400000,24.77046900000,286333.36499999999,2740402.41800000006,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+000,台7線,121.35853200000,24.76990900000,286257.47899999999,2740340.19299999997,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
